Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Town/City,County,State,Latitude,Longitude,Fieldworker,Year interviewed,Notes,Formatted_Informant,Target: attic,Target comments
CT183,LANE,Male,81,Black or African American,Between 1 and 8 years,Farmer,Sharon,Litchfield,CT,41.8667,-73.45,"Hanley, Miles L.",1931-33,,CT183,"garret, attic","attic, generally garret"
CT184,LANE,Male,89,White,At least some college or beyond,Farmer,Sharon,Litchfield,CT,41.8667,-73.45,"Hanley, Miles L.",1931-33,,CT184,"garret, attic",attic now commoner
CT187,LANE,Male,72,White,Between 1 and 8 years,Farmer,Morris,Litchfield,CT,41.6939,-73.2106,"Hanley, Miles L.",1931-33,,CT187,"attic, garret, sky parlor","garret, that's the old style. Some term it as a sky parlor. *sister, garret"
CT188,LANE,Male,75,White,At least some college or beyond,Professional or technical job,Litchfield (Litchfield),Litchfield,CT,41.7472,-73.1897,"Hanley, Miles L.",1931-33,,CT188,garret,
CT189,LANE,Male,68,White,Between 1 and 8 years,Private household worker or gardener,Cornwall (West Cornwall),Litchfield,CT,41.8453,-73.3314,"Hanley, Miles L.",1931-33,,CT189,"attic, garret",
CT190,LANE,Male,69,White,At least some college or beyond,Farmer,Cornwall (West Cornwall),Litchfield,CT,41.8453,-73.3314,"Hanley, Miles L.",1931-33,,CT190,garret,
CT191,LANE,Male,80,White,Between 1 and 8 years,Farmer,Morris,Litchfield,CT,41.6939,-73.2106,"Hanley, Miles L.",1931-33,Aux to Inf 187,CT191,garret,(the)
CT192,LANE,Male,55,White,Between 1 and 8 years,Laborer,Canterbury,Windham,CT,41.7,-72,"Harris, Rachel Sargent",1931-33,,CT192,"attic, sug. garret",attic: [so when ch.] Garret: grandpa said; grandma didn't.
CT193,LANE,Female,78,White,Between 1 and 8 years,Keeping house,Canterbury,Windham,CT,41.7,-72,"Harris, Rachel Sargent",1931-33,,CT193,garret,had one up garret; way up garret
CT195,LANE,Female,45-50,White,Between 1 and 8 years,Clerical or sales position,Stonington (Stonington Borough),New London,CT,41.365,-71.9067,"Harris, Rachel Sargent",1931-33,,CT195,garret,
CT196,LANE,Female,30,White,At least some college or beyond,Keeping house,Guilford ,New Haven,CT,41.2828,-72.6819,"Kurath, Hans",1931-33,,CT196,attic,
CT197,LANE,Female,27,White,At least some high school,Professional or technical job,Westport (Greens Farms),Fairfield,CT,41.1233,-73.3469,"Hanley, Miles L.",1931-33,,CT197,"attic, sug. garret",
CT198,LANE,Male,85,White,Between 1 and 8 years,Farmer,Stamford (Stamford),Fairfield,CT,41.0967,-73.5522,"Hanley, Miles L.",1931-33,,CT198,"attic, the garret",old-fashioned ways
CT199,LANE,Male,76,White,Between 1 and 8 years,Farmer,Stamford (Stamford),Fairfield,CT,41.0967,-73.5522,"Hanley, Miles L.",1931-33,,CT199,"attic, garret",I think mother would say garret
CT205,LANE,Male,79,White,Between 1 and 8 years,Fisher ,Old Greenwich,Fairfield,CT,41.0228,-73.5647,"Hanley, Miles L.",1931-33,Oyster grower,CT205,"attic, garret, upper chamber","attic--other terms? 'sometimes upper chamber' garret: extreme tap, unplastered, no partition; scuttle-way"
CT206,LANE,Female,76,White,At least some high school,Keeping house,Stonington (Quiambog),New London,CT,41.365,-71.9067,"Harris, Rachel Sargent",1931-33,,CT206,"attic, lean-to; sug. garret","over home', as on sides--waste room under eaves; not high enough for attic. Re: garret--oh! yes! So when ch."
CT209,LANE,Male,61,White,At least some high school,Farmer,Stonington (Stonington),New London,CT,41.365,-71.9067,"Harris, Rachel Sargent",1931-33,,CT209,"garret, attic",garret so in conv.
CT210,LANE,Male,81,White,Between 1 and 8 years,Farmer,Simsbury,Hartford,CT,41.8706,-72.8253,"Hanley, Miles L.",1931-33,,CT210,"attic, garret",79.1 up in the attic
CT215,LANE,Female,93,White,Unknown,,Danbury,Fairfield,CT,41.4022,-73.4711,"Hanley, Miles L.",1931-33,No matching Inf.; Danbury p 164,CT215,NR,
CT216,LANE,Male,89,White,Between 1 and 8 years,Farmer,Granby,Hartford,CT,41.9622,-72.8394,"Hanley, Miles L.",1931-33,,CT216,garret,
CT217,LANE,Male,74,White,At least some high school,Public servant,New Milford,Litchfield,CT,41.5833,-73.4,"Hanley, Miles L.",1931-33,,CT217,garret,"""I'm giving you my word for it, almost everyone says attic now"""
CT218,LANE,Male,59,White,At least some college or beyond,Farmer,Southbury,New Haven,CT,41.4736,-73.2342,"Hanley, Miles L.",1931-33,,CT218,garret,"""I don't remember hearing attic till maybe thirty, forty years ago. Garret's the regular term."""
CT233,LANE,Male,90,White,Between 1 and 8 years,Farmer,Bozrah,New London,CT,41.6197,-72.1425,"Harris, Rachel Sargent",1931-33,,CT233,"upstair, attic, sug. garret, up garret",upstair: higher than the beamer. attic modern. sug. garret / up garret above attic.
CT234,LANE,Female,70-80,White,At least some high school,Single woman,Norwich (Norwichtown),New London,CT,41.5503,-72.0875,"Harris, Rachel Sargent",1931-33,,CT234,"attic, garret",attic [more refined].
CT254,LANE,Female,78,White,Between 1 and 8 years,Keeping house,Bethel,Fairfield,CT,41.3742,-73.395,"Hanley, Miles L.",1931-33,,CT254,"garret, attic",going up garret
CT260,LANE,Male,70,White,Between 1 and 8 years,Farmer,Bethel,Fairfield,CT,41.3742,-73.395,"Hanley, Miles L.",1931-33,,CT260,"the garret, attic, up garret",always used to call it the garret. We call it attic now some. Sug. hears up garret.
CT261,LANE,Male,57,White,At least some college or beyond,Farmer,Milford,New Haven,CT,41.2242,-73.0597,"Hanley, Miles L.",1931-33,,CT261,"attic, garret","garret '""used quite a little when I was young"""
CT262,LANE,Female,20,White,At least some college or beyond,Professional or technical job,Bridgeport,Fairfield,CT,41.1864,-73.1956,"Hanley, Miles L.",1931-33,,CT262,attic,got a frog in my
CT266,LANE,Male,47,White,At least some college or beyond,Farmer,Danbury,Fairfield,CT,41.4022¬?N,-73.4711,"Hanley, Miles L.",1931-33,,CT266,"attic, the garret, garret",always called it the garret (this is his word). My wife got me into calling it attic.
CT282,LANE,Male,73,White,At least some high school,Craftsman or foreman,Wolcott,New Haven,CT,41.6011,-72.975,"Hanley, Miles L.",1931-33,,CT282,garret,"up garret, after."
CT283,LANE,Male,68,White,At least some high school,Fisher ,Milford,New Haven,CT,41.2242,-73.0597,"Hanley, Miles L.",1931-33,,CT283,"attic, garret",I've heard both all my life.
CT286,LANE,Male,36,White,Between 1 and 8 years,Clerical or sales position,Wolcott,New Haven,CT,41.6011,-72.975,"Hanley, Miles L.",1931-33,,CT286,garret chamber,
CT287,LANE,Male,65,White,No formal schooling,Farmer,New Fairfield,Fairfield,CT,41.4833,-73.4833,"Hanley, Miles L.",1931-33,,CT287,garret,"attic was a little more tasty than garret, they thought"
CT373,LANE,Female,60-65,White,At least some high school,Teacher,Pomfret,Windham,CT,41.8667,-71.9833,"Harris, Rachel Sargent",1931-33,,CT373,"garret, attic",
CT384,LANE,Male,79,White,Between 1 and 8 years,Farmer,Tolland ,Tolland,CT,41.8721,-72.3694,"Bloch, Bernard",1931-33,,CT384,garret,
CT385,LANE,Male,54,White,Between 1 and 8 years,Public servant,Tolland ,Tolland,CT,41.8721,-72.3694,"Bloch, Bernard",1931-33,,CT385,attic,
CT386,LANE,Male,77,White,Between 1 and 8 years,Farmer,East Windsor (Scantic),Hartford,CT,41.9167,-72.5578,"Bloch, Bernard",1931-33,,CT386,garret,
CT387,LANE,Male,53,White,Between 1 and 8 years,Farmer,East Windsor (Broad Brook),Hartford,CT,41.9167,-72.5578,"Bloch, Bernard",1931-33,,CT387,garret,
CT400,LANE,Male,79,White,At least some high school,Farmer,Somers (North Somers),Tolland,CT,41.9833,-72.4494,"Bloch, Bernard",1931-33,,CT400,garret,
CT401,LANE,Male,54,White,At least some high school,Farmer,Somers,Tolland,CT,41.9833,-72.4494,"Bloch, Bernard",1931-33,,CT401,attic,
CT405,LANE,Female,83,White,Between 1 and 8 years,Keeping house,Hebron,Tolland,CT,41.6528,-72.3914,"Harris, Rachel Sargent",1931-33,,CT405,"garret, attic",attic now
CT406,LANE,Female,84,White,Between 1 and 8 years,Keeping house,Woodstock,Windham,CT,41.9667,-72.0167,"Harris, Rachel Sargent",1931-33,,CT406,"store room, attic, garret","attic sounds better, garret old."
CT407,LANE,Female,58,White,At least some high school,Teacher,Windham (Willimantic),Windham,CT,41.7167,-72.1667,"Harris, Rachel Sargent",1931-33,,CT407,attic,
CT408,LANE,Female,82,White,Between 1 and 8 years,Private household worker or gardener,Windham (Center),Windham,CT,41.7167,-72.1667,"Harris, Rachel Sargent",1931-33,,CT408,"attic, garret",
,,,,,,,,,,,,,,,CT414J,"garret, attic",up g.
CT417,LANE,Male,73,White,At least some high school,"Manager, official, or proprietor",New London,New London,CT,41.3541,-72.101,"Harris, Rachel Sargent",1931-33,,CT417,"garret, attic, cv. attic roof",garret old
CT418,LANE,Male,69,White,Between 1 and 8 years,Farmer,East Lyme,New London,CT,41.3531,-72.2294,"Harris, Rachel Sargent",1931-33,,CT418,"attic, garret, up garret",the house
CT419,LANE,Female,83,White,At least some high school,Clerical or sales position,New London,New London,CT,41.3541,-72.101,"Harris, Rachel Sargent",1931-33,,CT419,garret,
CT422,LANE,Male,Unknown,White,Between 1 and 8 years,Farmer,Glastonbury,Hartford,CT,41.6869,-72.5447,"Kurath, Hans",1931-33,,CT422,"attic, garret","attic now, loose contact [t], garret as a boy"
IL1A,LANCS,Male,72,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",Jo Daviess,Scales Mound,IL,42.4867,-90.2622,"McDavid, Raven",1950,"also, 91.1; hardware merchant; incomplete record",IL001A,attic,
IL1B,LANCS,Male,91,White,At least some high school,Unknown,Jo Daviess,Galena,IL,42.4167,-90.429,"McDavid, Raven",1950,"also, 91.11",IL001B,"an attic, garret, c. lumber room, c. catch all",
IL1C,LANCS,Female,61,White,Between 1 and 8 yrs.,Keeping house,Jo Daviess,Elizabeth Twp,IL,42.2002,-90.1629,"McDavid, Raven",1950,"also, 91.2; claims Western Hollow, but not found",IL001C,"an attic, garret","attic = store room, not in top"
IL2,LANCS,Male,87,White,Between 1 and 8 yrs.,Unknown,Stephenson,Freeport,IL,42.2967,-89.6212,"Shuy, Roger",1960,"also, 91a.1",IL002,"attic, garret",garret -- older
IL3A,LANCS,Female,82,White,At least some high school,Unknown,Winnebago,Pecatonica,IL,42.3139,-89.3593,"McDavid, Raven",1950,"also, 92.1",IL003A,NR,
IL3B,LANCS,Female,94,White,At least some high school,Keeping house,Winnebago,Seward,IL,42.2389,-89.3579,"McDavid, Raven",1950,"also, 92.11; also, former schoolteacher",IL003B,an attic,trap door
IL3C,LANCS,Male,65,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",Winnebago,Pecatonica,IL,42.3139,-89.3593,"McDavid, Raven",1950,"also, 92.2; banker, also township supervisor",IL003C,"the attic, the garret",
IL3D,LANCS,Male,67,White,At least some college or beyond,Farmer,Winnebago,Rockford,IL,42.2711,-89.094,"Shuy, Roger",1960,"also, 92.3; also, high school science teacher",IL003D,attic,
IL4,LANCS,Male,86,White,Between 1 and 8 yrs.,Craftsman or foreman,Boone,Belvidere,IL,42.2639,-88.8443,"Shuy, Roger",1960,"also, 92a.1; machinist, farmer as youth",IL004,attic,
IL5,LANCS,Female,74,White,Between 1 and 8 yrs.,Keeping house,McHenry,Woodstock,IL,42.3147,-88.4487,"Shuy, Roger",1960,"also, 92b.1",IL005,attic,
IL6A,LANCS,Male,70+,White,Unknown,Unknown,Carroll,Mt. Carroll,IL,42.095,-89.9782,"Shuy, Roger",1960,Aux. inf.: wife,IL006A,"upstairs, an attic, the attic, garret",garret -- older
IL6B,LANCS,Male,45,White,Between 1 and 8 yrs.,Farmer,Whiteside ,Franklin Corners,IL,41.917,-89.9107,"McDavid, Raven",1950,"also, 93.2",IL006B,attic,
IL6C,LANCS,Female,74,White,At least some high school,Clerical and sales,Whiteside ,Mt. Pleasant,IL,41.4759,-89.5533,"McDavid, Raven",1950,"also, 93.1; retailer agent",IL006C,"upstairs, attic",
IL7,LANCS,Male,71,White,At least some high school,Farmer,Ogle,Oregon,IL,42.0148,-89.3323,"Shuy, Roger",1960,"also, 94a.1; aux. inf.: wife",IL007,"attic, garret",garret -- used as a kid
IL8A,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer,Lee,Amboy,IL,41.7142,-89.3287,"Shuy, Roger",1960,"also, 94.1",IL008A,attic,
IL8B,LANCS,Male,91,White,At least some high school,Farmer,Lee,Amboy,IL,41.7142,-89.3287,"McDavid, Raven",1950,"also, 94.11; incomplete record",IL008B,attic,not in our house
IL8C,LANCS,Female,86,White,At least some high school,Keeping house,Lee,Amboy,IL,41.7142,-89.3287,"McDavid, Raven",1950,"also, 94.2; Aux. inf.: Male, elderly neighbor; incomplete record",IL008C,an attic,"old clothes, etc."
IL8D,LANCS,Female,80,White,At least some college or beyond,Teacher,Lee,Amboy,IL,41.7142,-89.3287,"McDavid, Raven",1950,"also, 94.21; widow, taught school 2.5 yrs.; aux. inf.: daughter",IL008D,a low attic,
IL9,LANCS,Male,77,White,Between 1 and 8 yrs.,Farmer,Dekalb,Sandwich,IL,41.6459,-88.6217,"Shuy, Roger",1960,"also, 94b.1; aux. inf.: wife",IL009,"garret, attic",
IL10A,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,Kane,Elburn,IL,41.8922,-88.4723,"Allen, Harold",1939,"also, 95.1",IL010A,garret,
IL10B,LANCS,Female,74,White,At least some high school,Keeping house,Kane,Elgin,IL,42.0354,-88.2826,"Shuy, Roger",1960,"also, 95.11",IL010B,attic,
IL10C,LANCS,Female,62,White,At least some college or beyond,Keeping house,Kane,Blackberry,IL,41.8493,-88.421," McDavid, Raven",1959,"also, 95.2; also, former schoolteacher",IL010C,the attic,
IL11A,LANCS,Female,85,White,Between 1 and 8 yrs.,Keeping house,Dupage,Glen Ellyn,IL,41.8755,-88.0667,"Shuy, Roger",1960,"also, 95a.1",IL011A,"attics, garret",garret -- older term
IL11B,LANCS,Male,81,White,At least some college or beyond,Professional & technical,Dupage,Wheaton,IL,41.8661,-88.107,"Shuy, Roger",1960,"also, 95a.3; accountant",IL011B,attic,
IL11C,LANCS,Male,85,White,At least some college or beyond,Professional & technical,Dupage,Hinsdale,IL,41.8009,-87.937,"Stevens, William H.",1975,Journalist,IL011C,attic,
IL12A,LANCS,Male,80,White,Between 1 and 8 yrs.,Public servant,Cook,Park Ridge,IL,42.0111,-87.8406," McDavid, Raven",1950,"also, 96.1; postman",IL012A,attic,
IL12B,LANCS,Male,87,White,Between 1 and 8 yrs.,Clerical and sales,Cook,Mount Prospect,IL,42.0664,-87.9373,"Pederson, Lee",1962,real estate dealer and local government official; bilingual (English-German),IL012B,attic,
IL12C,LANCS,Female,66,White,Between 1 and 8 yrs.,Keeping house,Cook,Park Ridge,IL,42.0111,-87.8406,"Herndobler, Robin",1975,Former factory worker; partial record,IL012C,"cv. attic, cv. loft",
IL12D,LANCS,Female,86,White,Between 1 and 8 yrs.,Keeping house,Cook,Chicago,IL,41.9476,-87.7665,"Pederson, Lee",1962,coords. for nw side,IL012D,attic,
IL12E,LANCS,Male,60,White,At least some high school,Other,Cook,Chicago,IL,41.8055,-87.6088,"Herndobler, Robin",1975,Chicago municipal worker; partial record; coords for south side,IL012E,attic,
IL12F,LANCS,Female,60,White,At least some high school,Keeping house,Cook,Chicago,IL,41.8055,-87.6088,"Tweet, Roald",1959,"also, 96.2; husband present but fw did not record aux. responses; coords. for south side",IL012F,attic,not necessarily above all other rooms; a closed off part of the top floor
IL12G,LANCS,Female,74,White,At least some high school,Unknown,Cook,Chicago,IL,41.8781,-87.6298,"Herndobler, Robin",1975,"Widow, worked in family store at some point, but no occupation listed in occ. slot; partial record",IL012G,attic,
IL12HN,LANCS,Male,37,Black or African American,At least some high school,Clerical and sales,Cook,Chicago,IL,41.8781,-87.6298," McDavid, Raven",1960,"also, 96.N2; real estate; incomplete record",IL012HN,NR,c.
IL12I,LANCS,Male,50,White,At least some high school,Public servant,Cook,Rogers Park,IL,42.0126,-87.6746,"Pederson, Lee",1962,fire marshall in CFD; neighborhood n. side Chicago,IL012I,"attic, attic loft",
IL12JN,LANCS,Male,85,Black or African American,At least some high school,Other,Cook,Beverly Ridge,IL,41.7014,-87.6563,"Pederson, Lee",1962,undertaker; incomplete record; neighborhood far sw side of Chi ,IL012JN,"attic, air space",
IL12K,LANCS,Male,27,White,At least some college or beyond,Public servant,Cook,Chicago,IL,41.9476,-87.7665,"Herndobler, Robin",1975,Chicago policeman (vice squad); partial record; nw side of Chi,IL012K,NR,
IL12LN,LANCS,Male,34,Black or African American,At least some college or beyond,"Manager, official, or proprietor",Cook,Beverly Ridge,IL,41.7014,-87.6563,"Geffen, Arthur",1959,"also, 96.N3; studio supervisor for ed. tv station; one yr. law school; neighborhood far sw side of Chi",IL012LN,attic,
IL12M,LANCS,Male,73,White,At least some college or beyond,Professional & technical,Cook,Chicago,IL,41.9476,-87.7665," McDavid, Raven",1950,"also, 96.31; real estate title lawyer; incomplete record; nw side of Chi",IL012M,"third story, attic rooms",
IL12N,LANCS,Male,27,White,At least some college or beyond,Student,Cook,Near South Side,IL,41.5128,-87.3726," McDavid, Raven",1954,"also, 96.32; Chi neighborhood",IL012N,the attic,not necess. a room; can't stand in
IL12O,LANCS,Female,20,White,At least some college or beyond,Service worker,Cook,Chicago,IL,41.8781,-87.6298," McDavid, Raven",1962,"also, 96.34; restaurant receptionist; the only inf. in IL survey who is of Chinese extraction; bilingual",IL012O,attic,
IL12P,LANCS,Female,33,White,At least some college or beyond,Student,Cook,Chicago,IL,41.8781,-87.6298," McDavid, Raven",1962,"also, 96.35",IL012P,the attic,
IL12Q,LANCS,Male,51,White,At least some college or beyond,Professional & technical,Cook,Chicago,IL,41.8781,-87.6298," McDavid, Raven",1950,"also, 96.3; writer, in publishing business",IL012Q,attic,
IL12R,LANCS,Female,69,White,At least some college or beyond,Keeping house,Cook,Kenilworth,IL,42.0859,-87.7176,"Pederson, Lee",1962,former journalist,IL012R,attic,
IL13A,LANCS,Male,76,White,At least some high school,Farmer,Rock Island,Rock Island,IL,41.5095,-90.5787,"Wilson, H. Rex",1954,"also, 97a.1; also, factory worker",IL013A,the attic,store everything we don't want
IL13B,LANCS,Female,73,White,Between 1 and 8 yrs.,Keeping house,Rock Island,Moline,IL,41.5067,-90.5151,"Shuy, Roger",1961,"also, 97a.11; aux. inf.: female, 52, perhaps farm housewife, supplied animal calls",IL013B,attic,
IL13C,LANCS,Male,72,White,At least some high school,"Manager, official, or proprietor",Rock Island,Moline,IL,41.5067,-90.5151,"Shuy, Roger",1960,"also, 97a.2; hardware merchant",IL013C,attic,
IL13D,LANCS,Female,35,White,At least some college or beyond,Professional & technical,Rock Island,Silvis,IL,41.5123,-90.4151,"Wilson, H. Rex",1954,"also, 97a.3; mathematician, engineering analysis work",IL013D,attic,
IL13E,LANCS,Female,67,White,At least some college or beyond,Teacher,Rock Island,Moline,IL,41.5067,-90.5151,"Shuy, Roger",1960,"also, 97a.31; mathematics professor",IL013E,attic,
IL14,LANCS,Male,75,White,Between 1 and 8 yrs.,Unknown,Mercer,Richland Grove,IL,41.2998,-90.5069,"Shuy, Roger",1960,"also, 99a.1; aux. inf.: wife",IL014,"attic, garret, loft","garret, loft -- older terms"
IL15A,LANCS,Female,75,White,Between 1 and 8 yrs.,Keeping house,Henry,Geneseo,IL,41.4481,-90.1543,"Allen, Harold",1939,"also, 97.1",IL015A,"attic, loft",loft -- older persons also said
IL15B,LANCS,Male,75,White,At least some high school,Farmer,Henry,Cambridge,IL,41.1812,-90.1136,"McDavid, Raven",1950,"also, 97.2",IL015B,a garret,
IL16A,LANCS,Male,78,White,Between 1 and 8 yrs.,Operative,LaSalle,Ottawa,IL,41.3456,-88.8426,"Shuy, Roger",1960,"also, 98.1; factory worker",IL016A,attic,
IL16B,LANCS,Female,56,White,At least some high school,Keeping house,LaSalle,Grand Ridge,IL,41.237,-88.8315,"McDavid, Raven",1954,"also, 98.11; fw started to interview inf's mother, 87, but found her unreceptive",IL016B,attic,
IL16C,LANCS,Female,71,White,At least some college or beyond,Clerical and sales,LaSalle,Grand Ridge,IL,41.237,-88.8315,"McDavid, Raven",1954,"also, 98.2; office worker, also schoolteacher; 8 grades and college, schooling all local",IL016C,attic,hard to have access
IL17,LANCS,Female,73,White,Between 1 and 8 yrs.,Keeping house,Kendall,Yorkville ,IL,41.6411,-88.4473,"Shuy, Roger",1960,"also, 98.1",IL017,attic,maybe
IL18,LANCS,Male,82,White,Between 1 and 8 yrs.,Farmer,Grundy,Goodfarm,IL,41.1696,-88.421,"Shuy, Roger",1960,"also, 99.11",IL018,attic,
IL19A,LANCS,Male,71,White,Between 1 and 8 yrs.,Farmer,Will,Peotone,IL,41.3323,-87.7853,"Shuy, Roger",1962,"also, 95b.1; aux. inf.: wife, 67",IL019A,"attic, garret",garret = grandparents
IL19B,LANCS,Female,72,White,At least some high school,Keeping house,Will,Peotone,IL,41.3323,-87.7853,"Shuy, Roger",1962,"also, 95b.2",IL019B,"attic, garret","garret -- grandmother used it, also cousins, 9 miles south"
IL20A,LANCS,Male,86,White,Between 1 and 8 yrs.,Service worker,Henderson,Oquawka,IL,40.562,-90.5657,"McDavid, Raven",1950,"also, 99.1; cemetery sexton",IL020A,garret,went up ladder
IL20B,LANCS,Male,49,White,At least some high school,Farmer,Henderson,Sand Ridge,IL,37.4421,-89.2618,"McDavid, Raven",1950,"also, 99.2; hw except in ""wharf""",IL020B,the attic,
IL21,LANCS,Male,65,White,At least some high school,Farmer,Warren,Kirkwood,IL,40.8659,-90.7485,"Shuy, Roger",1960,"also, 99b.1; livestock farmer, some oil producing",IL021,attic,
IL22,LANCS,Male,75,White,At least some high school,Farmer,Knox,Wataga,IL,41.0253,-90.2798,"Shuy, Roger",1960,"also, 97b.1",IL022,attic,
IL23A,LANCS,Male,83,White,At least some high school,Farmer,Stark,Toulon,IL,41.0936,-89.8648,"Shuy, Roger",1960,"also, 97c.1; aux. inf.: Wife",IL023A,"attic, garret",garret -- older
IL23B,LANCS,Male,ca. 70,White,Unknown,Farmer,Stark,Osceola,IL,41.1799,-89.6816,"Shuy, Roger",1960,"Also, speaks a little Swedish",IL023B,attic,
IL24A,LANCS,Female,78,White,Between 1 and 8 yrs.,Farmer,Peoria,Hanna City,IL,40.6917,-89.7951,"Shuy, Roger",1960,"also, 102b.1; also, seed corn representative",IL024A,"attic, garret",garret -- older; 'we got one'
IL24B,LANCS,Female,76,White,At least some high school,Keeping house,Peoria,Peoria,IL,40.6936,-89.589,"Shuy, Roger",1960,"also, 102b.2; 11th grade plus 1 yr. bus. coll.; Aux. inf.: 102b.3, F, teacher, 89",IL024B,NR,
IL25A,LANCS,Male,77,White,At least some high school,Farmer,Marshall,La Rose,IL,40.9823,-89.2354,"Shuy, Roger",1960,"also, 98c.1",IL025A,"attic, garret",garret -- sometimes call it this; haul it to the attic (dump)
IL25B,LANCS,Female,83,White,Unknown,Keeping house,Putnam,Granville,IL,41.1531,-89.1307,"Shuy, Roger",1960,"also, 98d.1",IL025B,attic,
IL26,LANCS,Male,77,White,Between 1 and 8 yrs.,Farmer,Woodford,Eureka,IL,40.7214,-89.2729,"Shuy, Roger",1960,"also, 103a.1",IL026,attic,
